Day,Meal,Meal Type,Dish,Ingredients list,Cooking Notes,,,,,,,,,,,,,,
3,1B,Fast: Oatmeal,,"milk, dried  ",,2 qts dry,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,peanut butter,,10 oz,,,,,,,,x,,CA,costco,,
3,1B,Fast: Oatmeal,,nutella,,10 oz,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,honey,,5 oz,,,,,,,,x,,CA,costco,,
3,1B,Fast: Oatmeal,,english muffins- whole wheat,,12,,,,,,x,,,,AZ,,,
3,1B,Fast: Oatmeal,,craisins,,1/2  lb,,,,x,,,,,,CA,costco,,
3,1B,Fast: Oatmeal,,oranges,,12,,,,x,,,,,,AZ,,,
3,1B,Fast: Oatmeal,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
3,1B,Fast: Oatmeal,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
3,1B,Fast: Oatmeal,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
3,1B,Fast: Oatmeal,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
3,1B,Fast: Oatmeal,,brown sugar,,2 cups,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,"cinnamon, nutmeg",,3 tablespoons,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
3,2L,PB&J,,peanut butter,,32 oz,,,,,x,,,,,,,,
3,2L,PB&J,,almond butter,,16 oz,,,,,x,,,,,,,,
3,2L,PB&J,,jam,,16 oz ,,,,,,,,,,,,,"I'm only putting 16 oz here (instead of 32 oz), because I think we'll have left over from previous days."
3,2L,PB&J,,bananas,,8,,x,,,,,,,,,,,
3,2L,PB&J,,sliced breads,,40 slices,,,,,,x,,,,,,,
3,2L,PB&J,,tortillas,,12,,,,,,x,,,,AZ,TJ's ?,,
3,2L,PB&J,,honey,,16 oz,,,,,,,,x,,,,,
3,2L,PB&J,,nutella,,13 oz,,,,,x,,,,,,,,
3,2L,PB&J,,oranges,,5,,,x,,,,,,,AZ,,,
3,2L,PB&J,,apples,,4,,,x,,,,,,,AZ,,,
3,2L,PB&J,,chips,,2,,,,,,,x,,,AZ,,,variety
,,,,,,,,,,,,,,,,,,,
3,3D,,Black Bean Soup,onion,,2,,,x,,,,,,,CA,costco,,
3,3D,,Black Bean Soup,garlic,,6 cloves,,,x,,,,,,,CA,,,
3,3D,,Black Bean Soup,cumin * chili powder * garlic * salt ,,cond,,,,,,,,x,,CA,,,
3,3D,,Black Bean Soup,black beans,soak during day in pressure cooker,6 cups dry,,,,,x,,,,,CA,,,
3,3D,,Black Bean Soup,zucchini,,4large/5small,,,x,,,,,,,AZ,,,
3,3D,,Black Bean Soup,green bell pepper,,3,,x,,,,,,,,AZ,,,
3,3D,,Black Bean Soup,diced tomaotes,,2 large cans,,,,,x,,,,,CA,,,
3,3D,,Black Bean Soup,cilantro,,1 bunch,,x,,,,,,,,AZ,,,
3,3D,,Black Bean Soup,pepper jack cheese,,12 oz,,x,,,,,,,,,,,
3,3D,,Black Bean Soup,jalapenos,,2,,,x,,,,,,,AZ,,,
3,3D,,Black Bean Soup,green chilies,,4,,,x,,,,,,,AZ,,,
3,3D,,Cornbread,cornbread mix,,2 boxes,,,,,x,,,,,CA,,,
3,3D,,Cornbread,egg replacer,,4 tablespoons,,,,,,,,x,,CA,,,
3,3D,,Cornbread,plain non-dairy-milk,,4 cups,,,,,,,x,,,CA,,,
3,3D,,Cornbread,vegtable oil,,2 cups,,,,,,,,x,,CA,costco,,
3,3D,,Cornbread,honey,,10 oz,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
4,1B,Slow,Egg Scramble,eggs,,36,,x,,,,,,,,AZ,,,
4,1B,Slow,Egg Scramble,cheddar cheese,,2 lb,,x,,,,,,,,AZ,,,
4,1B,Slow,Egg Scramble,tomatoes,,8,,x,x,,,,,,,AZ,,,
4,1B,Slow,Egg Scramble,red onion,,4,,,x,,,,,,,AZ,,,
4,1B,Slow,Egg Scramble,mushrooms or spinach (help decide which will keep longer?),,,,x,x,,,,,,,AZ,,,
4,1B,Slow,Egg Scramble,canola oil,,1/2 cup,,,,,,,,x,,CA,,,
4,1B,Slow,Egg Scramble,green bell peppers,,4,,,x,,,,,,,AZ,,,
4,1B,Slow,Potato Hash,green bell peppers,,4,,,x,,,,,,,AZ,,,
4,1B,Slow,Potato Hash,yellow onion,,4,,,x,,,,,,,AZ,,,
4,1B,Slow,Potato Hash,russet/yellow potatoes,,12 med-large,,,,,,,,,,AZ,,,
4,1B,Slow,Potato Hash,sweet potatoes,,4 medium,,,x,,,,,,,AZ,,,
4,1B,Slow,,ketchup,,16 oz,,,,,,,,x,,CA,,,
4,1B,Slow,,hot sauce,,16 oz,,,,,,,,x,,CA,,,
4,1B,Slow,,tortillas,,15,,,,,,x,,,,,,,
4,1B,Slow,,english muffins,,15,,,,,,x,,,,,,,
4,1B,Slow,,chicken apple sausages, take out the night before to thaw,16 (they're large),x,,,,,,,,,AZ,,,
4,1B,Slow,,dry milk,,,,,,,,,,x,,,,,
4,1B,Slow,,soy milk,,,,,,,,,,,,,,,
4,1B,Slow,,coffee,,1/2 lb,,,,,x,,,,,CA,costco,,
4,1B,Slow,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
4,1B,Slow,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
4,1B,Slow,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
4,1B,Slow,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
4,2L,Deli Lunch,Tuna Salad,tuna,,5 cans tuna,,,,,x,,,,,CA,whofo,,"There's reasonably priced, sustainably caught tuna in cans at whofo (Megan). We can gauge interest in tuna salad and only make as much as people are interested (e.g. leave some cans of tuna unopened) --- sustainably caught, please!"
4,2L,Deli Lunch,Tuna Salad,red onion,,1 large,,,x,,,,,,,AZ,,,
4,2L,Deli Lunch,Tuna Salad,mayonaise,,1/5 jar,,x,,,,,,,,CA,TJ's,,
4,2L,Deli Lunch,,sliced breads,,~40 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
4,2L,Deli Lunch,,tortillas,,16,,,,,,,,,,,,, (good kind aka. non-mission brand)
4,2L,Deli Lunch,,dill or sweet pickles ,,1/2 large jar,,x,,,,,,,,CA,,,
4,2L,Deli Lunch,,spicy mustard,,1/2 jar,,x,,,,,,,,CA,,,
4,2L,Deli Lunch,,tomatoes,,4 large,,x,,,,,,,,AZ,,,
4,2L,Deli Lunch,,cheese (assortment),,16 oz,,x,,,,,,,,AZ,TJ's,,
4,2L,Deli Lunch,,romaine lettuce,,1/2 head,,x,,,,,,,,AZ,,,
4,2L,Deli Lunch,,peanut butter,,16 oz,,,,,x,,,,,CA,TJ's,,
4,2L,Deli Lunch,,jam,,16 oz,,x,,,,,,,we could bring some home-made jam!,CA,,,
4,2L,Deli Lunch,,tortilla chips,,2 bags,,,,,,,x,,,AZ,TJ's,,
4,2L,Deli Lunch,,hummus,,1 large tub,,x,,,,,,,,AZ,TJ's,,
4,2L,Deli Lunch,,baby carrots, for dipping in hummus,1 bag,,x,,,,,,,,AZ,,,
4,2L,Deli Lunch,,yummy salsa,,2 jars,,,,,x,,,,,CA,TJ's/whofo,,
4,2L,Deli Lunch,,tapatio,,endless :),,,,,,,,x,,CA,box?,,
4,2L,Deli Lunch,,avocado,,5,,x,,,,,,,,AZ,,,
4,2L,Deli Lunch,,cucumber,,1,,x,,,,,,,,AZ,,,
4,2L,Deli Lunch,,"baked, marinated tofu",,2 packages,,x,,,,,,,,AZ,TJ's/whofo,, (e.g. wildwood)
,,,,,,,,,,,,,,,,,,,
4,3D,,Chlodnik,eggs,,12,x,,,,,,,,,,,,
4,3D,,Chlodnik,veggie stock (frozen with beet base),,32 oz,x,,,,,,,,,,,,
4,3D,,Chlodnik,cucumbers,,6 medium,,x,,,,,,,,,,,
4,3D,,Chlodnik,radishes,,2 bunches,,x,,,,,,,,,,,
4,3D,,Chlodnik,green onion,,2 bunches,,x,,,,,,,,,,,
4,3D,,Chlodnik,dill,,1 bunch,,x,,,,,,,,,,,
4,3D,,Chlodnik,eggs,,2 dozen ,,,,,,,,,,,,,
4,3D,,Chlodnik,buttermilk,,6 cups,,x,,,,,,,,,,,
4,3D,,Chlodnik,sour cream ,,1 cup,,x,,,,,,,,,,,
4,3D,,Chlodnik,yogurt (as dairy alternative),,1 cup,,x,,,,,,,,,,,
4,3D,,Mashed Potatoes,potatoes,,5 lbs,,,x,,,,,,,,,,
4,3D,,Mashed Potatoes,salt,,2 tsps.,,,,,,,x,,,,,,
4,3D,,Mashed Potatoes,buttermilk,,2 cups,,x,,,,,,,,,,,
4,3D,,Mashed Potatoes,milk,,1 cup,,,,,x,,,,,,,,
4,3D,,Mashed Potatoes,dill,,1 bunch,,x,,,,,,,,,,,
4,3D,,Dessert,"frozen, premade knedle ",(dumplings with plums),32,x,,,,,,,,,,,,
4,3D,,Dessert,butter,For melting on top,8 oz.,x,,,,,,,,,,,,
4,3D,,Dessert,sugar,,?,,,,,x,,,,,,,,
4,3D,,Dessert,cinnamon,,?,,,,,x,,,,,,,,
4,3D,,Dessert,sour cream,Optional - for topping,1 cup,,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,1B,Fast: Bagels,,bagels,,18,,,,,,x,,,,AZ,,,
5,1B,Fast: Bagels,,white english muffins,,12,,,,,,x,,,,AZ,,,
5,1B,Fast: Bagels,,peanut butter,,12 oz,,,,,,,,x,,CA,costco,,
5,1B,Fast: Bagels,,speculous cookie butter,,10 oz,,,,,,,,x,,CA,TJ,,
5,1B,Fast: Bagels,,honey,,5 oz,,,,,,,,x,,CA,costco,,
5,1B,Fast: Bagels,,cream cheese,,750 g,,x,,,,,,,,AZ,,,
5,1B,Fast: Bagels,,smoked slamon,,2 packages,,x,,,,,,,,AZ,,,
5,1B,Fast: Bagels,,red onion,,1,,,x,,,,,,,AZ,,,
5,1B,Fast: Bagels,,cucumber,,2,,x,,,,,,,,AZ,,,
5,1B,Fast: Bagels,,capers,,16 oz,,,,,x,,,,,CA,costco,,refridgerate after opening
5,1B,Fast: Bagels,,jam,,10 oz,,,,,,,,x,,CA,costco,,
5,1B,Fast: Bagels,,vanilla sweetend soy milk,,1 qt,,,,,x,,,,,CA,costco,,
5,1B,Fast: Bagels,,"milk, dried  ",,1 qt dry,,,,,,,,x,,CA,costco,,
5,1B,Fast: Bagels,,nuts almonds,,1/2  lb,,,,,,,x,,,CA,costco,,
5,1B,Fast: Bagels,,cantelope,,1 large/2small,,,,x,,,,,,AZ,,,
5,1B,Fast: Bagels,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
5,1B,Fast: Bagels,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
5,1B,Fast: Bagels,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
5,1B,Fast: Bagels,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
,,,,,,,,,,,,,,,,,,,
5,2L,PB&J,,peanut butter,,32 oz,,,,,x,,,,,,,,
5,2L,PB&J,,almond butter,,32 oz,,,,,x,,,,,,,,
5,2L,PB&J,,jam,,32 oz,,,,,,,,,,,,,
5,2L,PB&J,,sliced breads,,~40 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
5,2L,PB&J,,tortillas,,12,,,,,,x,,,,AZ,,, (good kind aka. non-mission brand)
5,2L,PB&J,,honey,,16 oz,,,,,,,,x,,,,,
5,2L,PB&J,,nutella,,1/4 of one large (53 oz) jar,,,,,x,,,,,,,,
5,2L,PB&J,,oranges,,7,,,x,,,,,,,AZ,,,
5,2L,PB&J,,apples,,6,,,x,,,,,,,AZ,,,
5,2L,PB&J,,chips,,2,,,,,,,x,,,AZ,,,variety
5,2L,PB&J,,pickles,,16 pickles,,,,,x,,,,,CA,,,refrigerate after opening
5,2L,PB&J,,celery ,,1 bunch,,x,,,,,,,,AZ,,,
,,,,,,,,,,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,kidney beans,,3 cans,,,,,x,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,cannellini beans,,3 cans,,,,,x,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,canned edamame,,4 cans,x,,,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,quinoa,,6 cups,,,,,x,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,green bell peppers,,4,,x,,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,red onion,,3 medium,,,x,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,green beans,,1 lb.,,x,,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,corn,,2 cans,,,,,x,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,jalapeno ,,2,,x,,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,mangoes,,8,,,,x,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,green onion,,2 bunch,,x,,,,,,,,,,,
5,3D,,Quinoa 3 Bean Salad,apple cider vinegar,,2 cups,,,,,,,,x,,,,,
5,3D,,Quinoa 3 Bean Salad,grapeseed oil,,1.5 cup,,,,,,,,x,,,,,
5,3D,,Quinoa 3 Bean Salad,salt,,6 tsp,,,,,,,,x,,,,,
